full_path,department,college,page_number,chapter_title,similarity_score,matched_query,source,label,originalIndex,audited,audit_value
/projects/open_etds/etd/dissertation/27841/YanLiangDissertation.pdf,Agricultural and Applied Economics,Business,125,CHAPTER 7: CONCLUSIONS,0.7514207604,conclusions,toc_analysis,CONCLUSION,116,True,accept
/projects/open_etds/etd/dissertation/28651/Barbosa_ETD.pdf,Electrical and Computer Engineering,Engineering,216,Chapter 6. General Conclusion,0.6895926987,overall conclusions,toc_analysis,CONCLUSION,148,True,accept
/projects/open_etds/etd/dissertation/27114/MacLeanDissertation.pdf,Aerospace and Ocean Engineering,Engineering,232,CHAPTER 7: Concluding Remarks,0.8072681463,concluding remarks,toc_analysis,CONCLUSION,78,True,accept
/projects/open_etds/etd/dissertation/74881/Nottingham_L_D_2017.pdf,Entomology,Sciences,117,CHAPTER FIVE Conclusions and Parting Remarks,,manual_conclusion,manual_labels,CONCLUSION,279,True,accept
/projects/open_etds/etd/dissertation/27783/Fu_D_D_2010.pdf,Electrical and Computer Engineering,Engineering,194,Chapter 5 Conclusion,0.731763812,conclusion,toc_analysis,CONCLUSION,111,True,accept
/projects/open_etds/etd/dissertation/28393/Final.pdf,Electrical and Computer Engineering,Engineering,168,Chapter 6 Conclusion and Future Work,0.6058197877,suggestions for future work,toc_analysis,CONCLUSION|FUTURE_WORK,139,True,accept
/projects/open_etds/etd/dissertation/79792/Bowden_ZE_D_2016.pdf,Business Information Technology,Business,112,Chapter 5: Summary and Directions for Future Research,0.6636426854,recommendations for future research,toc_analysis,SUMMARY|FUTURE_WORK,320,True,accept
/projects/open_etds/etd/dissertation/30217/Kim_S_D_2009.pdf,Curriculum and Instruction,Education,107,Chapter Five: Discussion,0.6667467641,discussion and conclusions,toc_analysis,DISCUSSION,202,True,accept
/projects/open_etds/etd/dissertation/11228/Rosario_Dissertation.pdf,Chemistry,Sciences,204,Chapter 8: Future Work,0.6821991586,future work,toc_analysis,FUTURE_WORK,6,True,accept
/projects/open_etds/etd/dissertation/27808/ETDricci.pdf,Human Development,Social Sciences & Humanities,130,CHAPTER V: FINDINGS,0.6127567054,overall conclusions,toc_analysis,FINDINGS,112,True,accept
/projects/open_etds/etd/dissertation/73143/Flores_Solano_FX_D_2015.pdf,Civil and Environmental Engineering,Engineering,224,Chapter 8_Summary&Conclusions_3_11_2015,0.6374072211,summary and conclusions,toc_analysis,CONCLUSION|SUMMARY,264,True,accept
/projects/open_etds/etd/dissertation/81206/Maher_MP_D_2017.pdf,Counselor Education,Education,94,Conclusions,,manual_conclusion,manual_labels,CONCLUSION,328,True,accept
/projects/open_etds/etd/dissertation/29107/HURHKdissertation.pdf,Aerospace and Ocean Engineering,Engineering,289,Chapter 11 Summary and Conclusion,0.6752464657,summary and conclusions,toc_analysis,CONCLUSION|SUMMARY,166,True,accept
/projects/open_etds/etd/dissertation/81138/Kavanaugh_JW_D_2017.pdf,"Human Nutrition, Foods and Exercise",Health & Medical Sciences,103,CHAPTER 6: LIMITATIONS & FUTURE DIRECTIONS,,manual_future_work,manual_labels,LIMITATIONS|FUTURE_WORK,327,True,accept
/projects/open_etds/etd/dissertation/29246/Alexander_WN_D_2011.pdf,Aerospace and Ocean Engineering,Engineering,179,Chapter 8 Conclusion_v3.pdf,0.612614182,conclusion,toc_analysis,CONCLUSION,171,True,accept
/projects/open_etds/etd/dissertation/77915/Guevara_VE_D_2017.pdf,Geosciences,Sciences,230,Chapter 6. Concluding Remarks,,manual_conclusion,manual_labels,CONCLUSION,305,True,accept
/projects/open_etds/etd/dissertation/26782/Chigani_Amine_D_2011.pdf,Computer Science and Applications,Engineering,171,CHAPTER 8: CONCLUDING REMARKS AND FUTURE WORK,0.6697709383,concluding remarks,toc_analysis,CONCLUSION|FUTURE_WORK,65,True,accept
/projects/open_etds/etd/dissertation/27489/etd.pdf,Industrial and Systems Engineering,Engineering,156,CHAPTER 6 - DISCUSSION,0.6231781363,discussion and conclusions,toc_analysis,DISCUSSION,86,True,accept
/projects/open_etds/etd/dissertation/75109/Zhong_S_D_2017.pdf,Electrical and Computer Engineering,Engineering,134,Chapter 6: Contributions and Further Research,0.6253885972,further research,toc_analysis,FUTURE_WORK,282,True,accept
/projects/open_etds/etd/dissertation/77245/etd-10242011-233649_Rodriguez_KA_T_2011_f1.pdf,Materials Science and Engineering,Engineering,127,Chapter 8. Summarized Results and Conclusions,0.7034550783,summary and conclusions,toc_analysis,CONCLUSION|SUMMARY,292,True,accept
/projects/open_etds/etd/dissertation/29693/submit-11-29.pdf,Engineering Science and Mechanics,Engineering,303,Chapter 7 Conclusions,0.7268737822,overall conclusions,toc_analysis,CONCLUSION,185,True,accept
/projects/open_etds/etd/dissertation/64457/Najafi_S_D_2016.pdf,Civil and Environmental Engineering,Engineering,131,"Chapter 7 - Summary, Findings, Conclusions, and Recommendations",0.7045885143,summary and conclusions,toc_analysis,CONCLUSION|RECOMMENDATIONS|SUMMARY,256,True,accept
/projects/open_etds/etd/dissertation/26507/dissertationcampbellrevised.pdf,Educational Leadership and Policy Studies,Education,125,Chapter 5: Discussion,0.650066977,discussion and conclusions,toc_analysis,DISCUSSION,47,True,accept
/projects/open_etds/etd/dissertation/27990/Eraydin-Dissertation.pdf,Mining and Minerals Engineering,Engineering,237,Microsoft Word - CHAPTER 6 - CONCLUSIONS,0.6162960674,summary and conclusions,toc_analysis,CONCLUSION,120,True,accept
/projects/open_etds/etd/dissertation/26152/WCC_Dissertation.pdf,Electrical and Computer Engineering,Engineering,117,Chapter 6. Discussion and Conclusion,0.7527454866,discussion and conclusions,toc_analysis,CONCLUSION|DISCUSSION,34,True,accept
/projects/open_etds/etd/dissertation/26415/dissfd.pdf,Teaching and Learning,Education,81,CHAPTER 4: RESULTS AND DISCUSSION,0.6404846067,discussion and conclusions,toc_analysis,DISCUSSION,43,True,accept
/projects/open_etds/etd/dissertation/29436/McLendon_PM_D_2009.pdf,Chemistry,Sciences,206,Chapter 7 - Conclusions,0.7410896576,conclusions,toc_analysis,CONCLUSION,175,True,accept
/projects/open_etds/etd/dissertation/29655/SalzeDissertation.pdf,Biomedical and Veterinary Sciences,Engineering,225,Chapter XI. General conclusions,0.6837993648,overall conclusions,toc_analysis,CONCLUSION,184,True,accept
/projects/open_etds/etd/dissertation/27841/YanLiangDissertation.pdf,Agricultural and Applied Economics,Business,104,CHAPTER 6: RESULTS AND DISCUSSION,0.64929201,discussion and conclusions,toc_analysis,DISCUSSION,115,True,accept
/projects/open_etds/etd/dissertation/27020/Miller_WD_2010_F1_Title_Dissertation_Appendices.pdf,Teaching and Learning,Education,133,Chapter 5 – Conclusions and Suggested Guidelines,0.6268654906,discussion and conclusions,toc_analysis,CONCLUSION|RECOMMENDATIONS,74,True,accept
/projects/open_etds/etd/dissertation/74426/Angeles_Adames_MD_D_2017.pdf,Environmental Design and Planning,Agriculture & Environmental Sciences,360,Conclusions,,manual_conclusion,manual_labels,CONCLUSION,278,True,accept
/projects/open_etds/etd/dissertation/26488/Jeffrey_TR_D_2010.pdf,Teaching and Learning,Education,224,Chapter 5: Discussion,0.650066977,discussion and conclusions,toc_analysis,DISCUSSION,46,True,accept
/projects/open_etds/etd/dissertation/27705/Seamans.pdf,Instructional Technology,Education,58,"Chapter 3 - Data Collection, Analysis, Conclusions",0.6057385409,discussion and conclusions,toc_analysis,CONCLUSION,103,True,accept
/projects/open_etds/etd/dissertation/79428/Timpano_AJ_D_2017.pdf,Forest Resources and Environmental Conservation,Agriculture & Environmental Sciences,88,6. CHAPTER 6 - CONCLUSIONS,0.703188662,conclusions,toc_analysis,CONCLUSION,316,True,accept
/projects/open_etds/etd/dissertation/27571/SenseofPlaceandNewUrbanism.pdf,Environmental Design and Planning,Agriculture & Environmental Sciences,96,CHAPTER 5: DISCUSSION,0.650066977,discussion and conclusions,toc_analysis,DISCUSSION,96,True,accept
/projects/open_etds/etd/dissertation/49554/Hearn_CW_D_2012.pdf,Electrical and Computer Engineering,Engineering,126,8 Chapter - Conclusions,0.6928948216,overall conclusions,toc_analysis,CONCLUSION,232,True,accept
/projects/open_etds/etd/dissertation/39337/Husser-Dissertation.pdf,Human Development,Social Sciences & Humanities,70,CHAPTER V - DISCUSSION AND IMPLICATIONS,0.7028045998,discussion and conclusions,toc_analysis,DISCUSSION|IMPLICATIONS,223,True,accept
/projects/open_etds/etd/dissertation/25945/MSankirPhDDissertation.pdf,Macromolecular Science and Engineering,Engineering,305,Chapter8Suggested Future Research.pdf,0.6770385141,recommendations for future research,toc_analysis,FUTURE_WORK,17,True,accept
/projects/open_etds/etd/dissertation/27761/Kook_Ph_D_Dissertation3.pdf,Electrical and Computer Engineering,Engineering,191,Chapter 7 Conclusions and Implications,0.6753522037,overall conclusions,toc_analysis,CONCLUSION|IMPLICATIONS,110,True,accept
/projects/open_etds/etd/dissertation/56569/Hunter_DN_D_2015.pdf,Engineering Education,Engineering,96,Chapter 5. Discussion and Conclusion,0.7423694152,discussion and conclusions,toc_analysis,CONCLUSION|DISCUSSION,251,True,accept
/projects/open_etds/etd/dissertation/19290/DeValve_CJ_D_2013.pdf,Mechanical Engineering,Engineering,144,Chapter 7: Conclusions and Future Work,0.6240271942,recommendations for future research,toc_analysis,CONCLUSION|FUTURE_WORK,8,True,accept
/projects/open_etds/etd/dissertation/26598/licombs_dissertation_ETD_final.pdf,Curriculum and Instruction,Education,135,Chapter 5: Conclusions and Recommendations,0.6699565813,overall conclusions,toc_analysis,CONCLUSION|RECOMMENDATIONS,56,True,accept
/projects/open_etds/etd/dissertation/28726/J_Bryson_Dissertation_9222009.pdf,Chemistry,Sciences,173,Chapter 8 future work,0.6828190508,suggestions for future work,toc_analysis,FUTURE_WORK,149,True,accept
/projects/open_etds/etd/dissertation/29654/Layman.Dissertation_Finalc.pdf,Macromolecular Science and Engineering,Engineering,293,Chapter 12. Summary and Conclusions,0.7636727332,summary and conclusions,toc_analysis,CONCLUSION|SUMMARY,182,True,accept
/projects/open_etds/etd/dissertation/77520/Miller_DV_D_2017.pdf,Biochemistry,Sciences,194,Conclusions,,manual_conclusion,manual_labels,CONCLUSION,301,True,accept
/projects/open_etds/etd/dissertation/80439/Linder-Zarankin_M_D_2017.pdf,Government and International Affairs,Social Sciences & Humanities,107,CHAPTER SEVEN: CONCLUSIONS,,manual_conclusion,manual_labels,CONCLUSION,321,True,accept
/projects/open_etds/etd/dissertation/76736/Deramo_MC_D_2017.pdf,Political Science,Other,194,Chapter 8 Conclusion: Making a Home in a Country That is not Yours,,manual_conclusion,manual_labels,CONCLUSION,284,True,accept
/projects/open_etds/etd/dissertation/11204/TBSdiss.pdf,Biology,Sciences,244,Chapter 8 Conclusions,,manual_conclusion,manual_labels,CONCLUSION,4,True,accept
/projects/open_etds/etd/dissertation/27268/ETD_final_submit.pdf,Electrical and Computer Engineering,Engineering,185,Chapter 5. Conclusions and Future Work,0.6288906266,overall conclusions,toc_analysis,CONCLUSION|FUTURE_WORK,79,True,accept
/projects/open_etds/etd/dissertation/79414/Karpin_GW_D_2017.pdf,Chemistry,Sciences,89,5. Conclusions,,manual_conclusion,manual_labels,CONCLUSION,315,True,accept
/projects/open_etds/etd/dissertation/26751/Watson_Dissertation.pdf,Teaching and Learning,Education,136,Chapter 4: Results and Discussion,0.6303776443,discussion and conclusions,toc_analysis,DISCUSSION,61,True,accept
/projects/open_etds/etd/dissertation/47353/Laughlin_AM_D_2014.pdf,Educational Leadership and Policy Studies,Education,111,Chapter Five Discussion,0.6040319595,discussion and conclusions,toc_analysis,DISCUSSION,227,True,accept
/projects/open_etds/etd/dissertation/27269/dissertation_fong.pdf,Industrial and Systems Engineering,Engineering,127,Chapter 7 Conclusions and Research,0.6846690848,conclusions,toc_analysis,CONCLUSION,80,True,accept
/projects/open_etds/etd/dissertation/77439/Tang_H_D_2017.pdf,Geosciences,Sciences,120,Chapter 5 Future Works,,manual_future_work,manual_labels,FUTURE_WORK,299,True,accept
/projects/open_etds/etd/dissertation/25953/DISSERTATION_FINAL_JDW.pdf,Sociology,Social Sciences & Humanities,136,Chapter 8: Summary & Directions for Future Research,0.6641821209,recommendations for future research,toc_analysis,SUMMARY|FUTURE_WORK,18,True,accept
/projects/open_etds/etd/dissertation/26018/TCassinoDissertation.pdf,Chemical Engineering,Engineering,122,Chapter 5: Conclusions and Future Work,0.6422467529,recommendations for future research,toc_analysis,CONCLUSION|FUTURE_WORK,25,True,accept
/projects/open_etds/etd/dissertation/56962/Cowgill_KH_D_2015.pdf,Forest Resources and Environmental Conservation,Agriculture & Environmental Sciences,96,Chapter five: Conclusions,0.7622584225,overall conclusions,toc_analysis,CONCLUSION,253,True,accept
/projects/open_etds/etd/dissertation/81701/Xie_Y_D_2018.pdf,Physics,Sciences,87,Chapter 9 Conclusions,,manual_conclusion,manual_labels,CONCLUSION,330,True,accept
/projects/open_etds/etd/dissertation/51247/D_Adamo-Damery_PC_D_2015.pdf,Agricultural and Extension Education,Education,198,CHAPTER 6: CONLUSION,0.7324811141,conclusion,toc_analysis,CONCLUSION,241,True,accept
/projects/open_etds/etd/dissertation/29565/RosaAtkinsDissertationpdf.pdf,Educational Leadership and Policy Studies,Education,75,"CHAPTER 5 CONCLUSIONS, DISCUSSION, RECOMMENDATIONS FOR PRACTICE AND FUTURE RESEARCH, AND REFLECTIONS",0.6680298512,discussion and conclusions,toc_analysis,CONCLUSION|DISCUSSION|FUTURE_WORK|RECOMMENDATIONS,180,True,accept
/projects/open_etds/etd/dissertation/27419/Dissertation-Wenduo_Liu_revised0508.pdf,Electrical and Computer Engineering,Engineering,180,Chapter 8: Conclusions and Future Work,0.6247903432,recommendations for future research,toc_analysis,CONCLUSION|FUTURE_WORK,84,True,accept
/projects/open_etds/etd/dissertation/27816/dissertation-vt-saether.pdf,Engineering Science and Mechanics,Engineering,197,Chapter 7 Summary and Significance of the Current Research,0.7037666559,concluding remarks,toc_analysis,SUMMARY,113,True,accept
/projects/open_etds/etd/dissertation/28511/DanielsonDiss.pdf,Teaching and Learning,Education,94,Chapter 4: Discussion,0.6326166424,discussion and conclusions,toc_analysis,DISCUSSION,145,True,accept
/projects/open_etds/etd/dissertation/51748/He_F_D_2015.pdf,Mechanical Engineering,Engineering,100,Chapter 5. Conclusions and future work,0.6288906266,overall conclusions,toc_analysis,CONCLUSION|FUTURE_WORK,243,True,accept
/projects/open_etds/etd/dissertation/27858/RodlandETD.pdf,Geological Sciences,Other,118,CHAPTER SIX: CONCLUSIONS,0.7493492224,conclusions,toc_analysis,CONCLUSION,118,True,accept
/projects/open_etds/etd/dissertation/28452/flake_drying.pdf,Wood Science and Forest Products,Agriculture & Environmental Sciences,147,CHAPTER 6. CONCLUSIONS AND RECOMMENDATIONS,0.6594113576,summary and conclusions,toc_analysis,CONCLUSION|RECOMMENDATIONS,142,True,accept
/projects/open_etds/etd/dissertation/29533/Zaldivar_dissertation.pdf,Teaching and Learning,Education,108,Chapter 4: Discussion,0.6326166424,discussion and conclusions,toc_analysis,DISCUSSION,179,True,accept
